,Rank (Borda),Model,Zero-shot,Active Parameters (B),Total Parameters (B),Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Retrieval
77,78,[Cohere-embed-english-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,79.36,79.36,79.36
78,79,[KaLM-embedding-multilingual-mini-instruct-v2](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2),0%,0.358,0.494,896.0,512.0,79.27,79.27,79.27
79,80,[LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised),100%,6.516,6.647,4096.0,32768.0,79.25,79.25,79.25
80,81,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),100%,6.979,7.11,4096.0,32768.0,79.08,79.08,79.08
81,82,[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3),⚠️ NA,,,384.0,512.0,78.93,78.93,78.93
82,83,[Tarka-Embedding-350M-V1](https://huggingface.co/Tarka-AIR/Tarka-Embedding-350M-V1),100%,0.287,0.354,1024.0,128000.0,78.82,78.82,78.82
83,84,[jina-embeddings-v5-text-small](https://huggingface.co/jinaai/jina-embeddings-v5-text-small),⚠️ NA,0.44,0.596,1024.0,32768.0,78.49,78.49,78.49
84,85,[zembed-1](https://huggingface.co/zeroentropy/zembed-1),⚠️ NA,3.634,4.022,2560.0,32768.0,78.39,78.39,78.39
85,86,[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1),0%,0.358,0.494,896.0,512.0,78.37,78.37,78.37
86,87,[e5-large](https://huggingface.co/intfloat/e5-large),100%,0.304,0.335,1024.0,512.0,78.32,78.32,78.32
87,88,[ColBERT-Zero](https://huggingface.co/lightonai/ColBERT-Zero),100%,0.11,0.149,128.0,8192.0,78.27,78.27,78.27
88,89,[bge-base-en-v1.5](https://huggingface.co/BAAI/bge-base-en-v1.5),100%,0.086,0.109,768.0,512.0,78.03,78.03,78.03
89,90,[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/),⚠️ NA,,,1536.0,8191.0,77.9,77.9,77.9
90,91,[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3),100%,0.316,0.572,1024.0,8194.0,77.74,77.74,77.74
91,92,[MedEmbed-small-v0.1](https://huggingface.co/abhinand/MedEmbed-small-v0.1),0%,0.022,0.033,384.0,512.0,77.7,77.7,77.7
92,93,[LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised),100%,7.022,7.153,4096.0,32768.0,77.69,77.69,77.69
93,94,[QZhou-Embedding](https://huggingface.co/Kingsoft-LLM/QZhou-Embedding),100%,6.526,7.071,3584.0,8192.0,77.64,77.64,77.64
94,95,[jina-embeddings-v5-text-nano](https://huggingface.co/jinaai/jina-embeddings-v5-text-nano),⚠️ NA,0.113,0.212,768.0,8192.0,77.6,77.6,77.6
95,96,[GeoEmbedding](https://huggingface.co/GeoGPT-Research-Project/GeoEmbedding),100%,6.98,7.111,4096.0,32768.0,77.26,77.26,77.26
96,97,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),100%,6.979,7.11,8000.0,32768.0,77.18,77.18,77.18
97,98,[e5-small](https://huggingface.co/intfloat/e5-small),100%,0.021,0.033,384.0,512.0,76.78,76.78,76.78
98,99,[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5),100%,,0.435,4096.0,8192.0,76.65,76.65,76.65
99,100,[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/),100%,,,512.0,32000.0,76.5,76.5,76.5
100,101,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),100%,0.086,0.109,768.0,512.0,76.45,76.45,76.45
101,102,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100%,0.304,0.335,1024.0,512.0,76.27,76.27,76.27
102,103,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),100%,0.11,0.149,768.0,8192.0,75.75,75.75,75.75
103,104,[ColBERT-Zero-supervised](https://huggingface.co/lightonai/ColBERT-Zero-supervised),100%,0.11,0.149,128.0,8192.0,75.58,75.58,75.58
104,105,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100%,0.304,0.335,1024.0,512.0,75.53,75.53,75.53
105,106,[bge-small-en-v1.5](https://huggingface.co/BAAI/bge-small-en-v1.5),100%,0.022,0.033,512.0,512.0,75.52,75.52,75.52
106,107,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),100%,0.304,0.335,1024.0,512.0,75.38,75.38,75.38
107,108,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),0%,6.526,7.069,3584.0,32768.0,75.1,75.1,75.1
108,109,[bge-large-en-v1.5](https://huggingface.co/BAAI/bge-large-en-v1.5),100%,0.304,0.335,1024.0,512.0,74.7,74.7,74.7
109,110,[e5-small-v2](https://huggingface.co/intfloat/e5-small-v2),100%,0.021,0.033,384.0,512.0,74.37,74.37,74.37
110,111,[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B),100%,7.109,7.24,4096.0,32768.0,74.31,74.31,74.31
111,112,[mini-gte](https://huggingface.co/prdev/mini-gte),100%,0.043,0.066,768.0,512.0,74.02,74.02,74.02
112,113,[opensearch-neural-sparse-encoding-doc-v3-gte](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-gte),100%,0.113,0.137,30522.0,8192.0,73.33,73.33,73.33
113,114,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),100%,0.022,0.033,512.0,512.0,73.16,73.16,73.16
114,115,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),⚠️ NA,0.113,0.137,768.0,8192.0,73.13,73.13,73.13
115,116,[udever-bloom-560m](https://huggingface.co/izhx/udever-bloom-560m),100%,0.302,0.559,,,72.99,72.99,72.99
116,117,[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct),⚠️ NA,6.477,7.099,4096.0,32768.0,72.72,72.72,72.72
117,118,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),0%,1.31,1.543,1536.0,32768.0,72.36,72.36,72.36
118,119,[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small),100%,0.022,0.118,384.0,512.0,72.29,72.29,72.29
119,120,[opensearch-neural-sparse-encoding-doc-v3-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v3-distill),100%,0.043,0.066,30522.0,512.0,72.26,72.26,72.26
120,121,[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large),100%,0.304,0.56,1024.0,514.0,71.15,71.15,71.15
121,122,[opensearch-neural-sparse-encoding-doc-v2-mini](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-mini),100%,0.011,0.023,30522.0,512.0,70.77,70.77,70.77
122,123,[granite-embedding-english-r2](https://huggingface.co/ibm-granite/granite-embedding-english-r2),100%,0.11,0.149,768.0,8192.0,70.56,70.56,70.56
123,124,[gte-large](https://huggingface.co/thenlper/gte-large),⚠️ NA,0.304,0.335,1024.0,512.0,70.22,70.22,70.22
124,125,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),100%,6.979,7.11,4000.0,32768.0,69.73,69.73,69.73
125,126,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100%,0.086,0.109,768.0,512.0,69.63,69.63,69.63
126,127,[GIST-Embedding-v0](https://huggingface.co/avsolatorio/GIST-Embedding-v0),100%,0.086,0.109,768.0,512.0,69.6,69.6,69.6
127,128,[e5-base-4k](https://huggingface.co/dwzhu/e5-base-4k),100%,0.089,0.112,,4096.0,69.6,69.6,69.6
128,129,[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base),100%,0.086,0.278,768.0,514.0,69.49,69.49,69.49
129,130,[granite-embedding-125m-english](https://huggingface.co/ibm-granite/granite-embedding-125m-english),100%,0.086,0.125,768.0,512.0,69.26,69.26,69.26
130,131,[b1ade-embed](https://huggingface.co/w601sxs/b1ade-embed),100%,0.304,0.335,1024.0,4096.0,69.16,69.16,69.16
131,132,[GIST-small-Embedding-v0](https://huggingface.co/avsolatorio/GIST-small-Embedding-v0),100%,0.022,0.033,384.0,512.0,69.14,69.14,69.14
132,133,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),100%,0.304,0.335,1024.0,512.0,69.13,69.13,69.13
133,134,[opensearch-neural-sparse-encoding-doc-v2-distill](https://huggingface.co/opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill),100%,0.043,0.066,30522.0,512.0,68.92,68.92,68.92
134,135,[gte-base](https://huggingface.co/thenlper/gte-base),⚠️ NA,0.086,0.109,768.0,512.0,68.78,68.78,68.78
135,136,[mxbai-embed-2d-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1),⚠️ NA,0.304,0.335,768.0,512.0,68.64,68.64,68.64
136,137,[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual),100%,0.086,0.278,768.0,512.0,68.57,68.57,68.57
137,138,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),⚠️ NA,,,1536.0,8191.0,68.47,68.47,68.47
138,139,[mdbr-leaf-mt](https://huggingface.co/MongoDB/mdbr-leaf-mt),100%,0.011,0.023,1024.0,512.0,67.33,67.33,67.33
139,140,[ColBERT-Zero-unsupervised](https://huggingface.co/lightonai/ColBERT-Zero-unsupervised),100%,0.11,0.149,128.0,8192.0,66.97,66.97,66.97
140,141,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100%,0.304,0.335,1024.0,514.0,66.64,66.64,66.64
141,142,[gte-small](https://huggingface.co/thenlper/gte-small),⚠️ NA,0.022,0.033,384.0,512.0,66.53,66.53,66.53
142,143,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100%,0.114,0.137,768.0,8192.0,65.91,65.91,65.91
143,144,[jina-embeddings-v2-small-en](https://huggingface.co/jinaai/jina-embeddings-v2-small-en),100%,0.017,0.033,512.0,8192.0,65.18,65.18,65.18
144,145,[stella-base-en-v2](https://huggingface.co/infgrad/stella-base-en-v2),⚠️ NA,0.086,0.109,,512.0,64.79,64.79,64.79
145,146,[granite-embedding-small-english-r2](https://huggingface.co/ibm-granite/granite-embedding-small-english-r2),100%,0.028,0.048,384.0,8192.0,64.67,64.67,64.67
146,147,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),100%,8.322,9.24,3584.0,8192.0,64.27,64.27,64.27
147,148,[ember-v1](https://huggingface.co/llmrails/ember-v1),⚠️ NA,0.304,0.335,1024.0,512.0,64.14,64.14,64.14
148,149,[nomic-embed-text-v1.5](https://huggingface.co/nomic-ai/nomic-embed-text-v1.5),100%,,0.137,768.0,8192.0,63.44,63.44,63.44
149,150,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100%,7.022,7.547,4096.0,8192.0,63.34,63.34,63.34
150,151,[ru-en-RoSBERTa](https://huggingface.co/ai-forever/ru-en-RoSBERTa),100%,0.303,0.404,1024.0,512.0,63.17,63.17,63.17
151,152,[granite-embedding-30m-english](https://huggingface.co/ibm-granite/granite-embedding-30m-english),100%,0.011,0.03,384.0,512.0,63.1,63.1,63.1
152,153,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),100%,0.011,0.107,384.0,512.0,62.81,62.81,62.81
153,154,[baseline-bm25s](https://github.com/xhluca/bm25s),⚠️ NA,,,,,62.31,62.31,62.31
154,155,[nomic-embed-text-v1-unsupervised](https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised),100%,,0.137,768.0,8192.0,62.2,62.2,62.2
155,156,[F2LLM-1.7B](https://huggingface.co/codefuse-ai/F2LLM-1.7B),100%,1.409,1.721,2048.0,8192.0,62.04,62.04,62.04
156,157,[Seed1.6-embedding-1215](https://console.volcengine.com/ark/region:ark+cn-beijing/model/detail?Id=doubao-embedding-vision),100%,,,2048.0,32768.0,61.93,61.93,61.93
157,158,[Solon-embeddings-large-0.1](https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1),⚠️ NA,0.304,0.56,1024.0,514.0,61.87,61.87,61.87
158,159,[SearchMap_Preview](https://huggingface.co/VPLabs/SearchMap_Preview),⚠️ NA,0.404,0.435,4096.0,8192.0,61.53,61.53,61.53
159,160,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100%,6.516,6.647,4096.0,32768.0,60.67,60.67,60.67
160,161,[F2LLM-4B](https://huggingface.co/codefuse-ai/F2LLM-4B),100%,3.634,4.022,2560.0,8192.0,60.64,60.64,60.64
161,162,[sentence_croissant_alpha_v0.3](https://huggingface.co/manu/sentence_croissant_alpha_v0.3),100%,1.214,1.28,2048.0,2048.0,60.59,60.59,60.59
162,163,[jina-embedding-b-en-v1](https://huggingface.co/jinaai/jina-embedding-b-en-v1),100%,0.085,0.11,768.0,512.0,60.57,60.57,60.57
163,164,[sentence_croissant_alpha_v0.4](https://huggingface.co/manu/sentence_croissant_alpha_v0.4),100%,1.214,1.28,2048.0,2048.0,60.49,60.49,60.49
164,165,[Ivysaur](https://huggingface.co/Mihaiii/Ivysaur),⚠️ NA,0.011,0.023,384.0,512.0,60.32,60.32,60.32
165,166,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100%,1.209,1.242,768.0,512.0,60.09,60.09,60.09
166,167,[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl),100%,4.833,4.866,768.0,512.0,59.48,59.48,59.48
167,168,[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100%,1.976,2.209,1536.0,32768.0,59.24,59.24,59.24
168,169,[F2LLM-v2-14B](https://huggingface.co/codefuse-ai/F2LLM-v2-14B),100%,13.214,13.99,5120.0,40960.0,58.92,58.92,58.92
169,170,[F2LLM-0.6B](https://huggingface.co/codefuse-ai/F2LLM-0.6B),100%,0.44,0.596,1024.0,8192.0,58.67,58.67,58.67
170,171,[F2LLM-v2-8B](https://huggingface.co/codefuse-ai/F2LLM-v2-8B),100%,6.947,7.568,4096.0,40960.0,58.65,58.65,58.65
171,172,[F2LLM-v2-4B](https://huggingface.co/codefuse-ai/F2LLM-v2-4B),100%,3.634,4.022,2560.0,40960.0,57.7,57.7,57.7
172,173,[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base),100%,0.113,0.305,768.0,8192.0,57.67,57.67,57.67
173,174,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100%,0.303,0.336,768.0,512.0,56.68,56.68,56.68
